Option ID,Option name
50,Northern NSW
54,Brisbane / Logan / Ipswich / Gold Coast - QLD
68,SUNSHINE COAST - QLD
87,Mackay / Andergrove / Rural View
89,"Rockhampton, Yeppoon - QLD"
94,Coffs Harbour - NSW
99,Biloela - QLD
103,GLADSTONE REGION - QLD
165,NSW Other
171,Maryborough - QLD
172,Port Macquarie - NSW
177,Sydney Regions
218,WARWICK - QLD
224,Oakey / Crowsnest / Kilcoy - QLD
225,Toowoomba - QLD
229,Newcastle / Mereweather / Gwandalan - NSW
287,Out Of Area/Other
288,Gympie - QLD
293,Beaudesert - QLD
305,Real Estate Deal
320,Roma - QLD
322,"Moreton Region (Wamuran, Bracalba) - QLD"
323,Victoria
338,Gatton - QLD
341,Burpengary/ DayB / Narangba / Caboolture - QLD
342,Aberglasslyn / Rutherford/ Maitland - NSW
343,Tara - QLD
390,Grenfell - NSW
416,COWRA - NSW
430,Harry BDM
471,Stanthorpe - QLD
475,Goondiwindi - QLD
484,Bendigo
485,Bell - QLD
486,Dubbo - NSW
513,Toobeah - QLD
560,Test/Fake
562,Emerald - QLD
568,KINGAROY - QLD
570,GLEN INNES - NSW
573,Grafton - NSW
578,ARMIDALE - NSW
603,No Address
636,Harden - NSW
790,TEXAS - QLD
857,Australia Wide
875,Tamworth
924,VIP - PARTNERSHIP LEAD
948,URGENT - MAKE SAFE REQ
968,Brisbane - QLD
969,Ipswich - QLD
970,Gold Coast / Logan - QLD
971,gym